coh,phi,gam,delta,fnum,area,leng,qu,mat,loc
33,28.85,9.82,12.49,20.1,0.1,19.5,1040,Steel,Haraz-Iran
33,29.89,9.73,12.41,27,0.1,23.5,1400,Steel,Haraz-Iran
33,28.81,9.82,12.49,20,0.1,19.4,990,Steel,Haraz-Iran
0,28,9.57,12.27,21,0.1,19.5,960,Steel,Haraz-Iran
0,28,9.69,12.22,24,0.1,23.5,1330,Steel,Haraz-Iran
63,5,9.69,11.2,40,0.1,19.4,1230,Steel,Haraz-Iran
6.37,29.84,9.7,14,177,0.16,25.3,3335,Concrete,Mahshahr-Iran
6.8,29.3,9.92,14,61,0.16,21.5,2000,Concrete,
6.4,29.78,9.73,14,180,0.16,24.9,3142,Concrete,
7,29,10.03,14,80,0.16,19.9,2520,Concrete,
6.64,29.48,9.84,14,115,0.16,22.7,2840,Concrete,
6.4,29.8,9.72,14,250,0.16,25,3867,Concrete,
6.34,29.87,9.69,14,202,0.16,25.6,4012,Concrete,
6.65,29.46,9.85,14,69,0.16,22.6,2278,Concrete,
7,29,10.34,14,50,0.16,15.2,1900,Concrete,
138,4.23,7.52,14,246,0.16,22.9,2500,Concrete,Mahshahr-Iran
142,4.14,7.55,14,210,0.16,23.4,2250,Concrete,
148,4.03,7.58,14,306,0.16,24,2700,Concrete,
8.7,24,8.55,11.75,790,0.89,61,"19,000",Steel,"Gulf of Mexico (Stockard, 1979)"
7.72,26.04,9.54,12.84,632,0.89,82,"24,900",Steel,
1.4,29.39,9.1,13.75,1360,1.59,98,"48,470",Steel,"India (Stockard, 1986)"
1.58,27.67,8.66,12.68,1300,1.17,98,"36,250",Steel,
4.87,26.77,8.81,12.1,2130,1.59,98,"52,100",Steel,
2.76,28.39,8.93,13.12,1750,1.59,90,"49,350",Steel,
7.47,35.99,12.91,16.68,178,0.1,18,5900,Steel,"Alton-Illinois (Larry, 1988)"
6.59,35.64,12.92,16.13,178,0.1,20.4,6200,Steel,
6.71,35.69,12.92,16.2,180,0.1,20,6120,Steel,
7.78,36.62,13.19,17,86,0.1,16.1,4280,Steel,
7.78,36.62,13.15,17,70,0.1,16.4,3130,Steel,
7.83,36.56,13.49,17,29,0.07,14.2,1321,Steel,
7.83,36.57,13.46,17,63,0.1,14.4,1300,Steel,
7.79,36.6,13.27,17,49,0.13,15.6,1830,Steel,
14.6,32.22,9.89,13.75,16,0.16,15.2,1043,Steel,"Illinois (Fellenius, 1989)"
14.6,32.22,9.89,13.75,15,0.1,15.2,987,Steel,
51.4,0,11.19,14,361,0.16,24.5,2030,Concrete,Bandar Imam-Iran
26,0,11.68,14,110,0.16,16,1145,Concrete,
54.8,0,11.15,14,482,0.16,25.9,2250,Concrete,
0.07,22.43,11.33,15.45,328,0.16,25.5,2600,Concrete,
0.06,23.79,11.26,15.51,202,0.16,28.5,2200,Concrete,
51.8,11.81,7.3,14.88,234,0.16,26.5,2920,Concrete,Bandar Imam-Iran
51,12.24,7.36,15.02,263,0.16,27.2,2880,Concrete,
58.6,11.43,8.34,14.59,112,0.16,14.5,680,Concrete,
58.5,11.38,8.29,14.58,78,0.16,14.7,540,Concrete,
136,27.82,8.94,14,167,0.16,18.2,2100,Concrete,Shiraz-Iran
137,27.1,8.84,14,94,0.16,19.5,1700,Concrete,
138,29.3,9.21,14,98,0.16,15.9,2200,Concrete,
18.2,20,5.45,13.75,78,0.09,60,2750,Steel,"Ontario (Fellenius and Altaee, 2002)"
17.9,19.76,5.43,13.82,87,0.09,62,2870,Steel,
