33,38,255,24.5,0.131,2615,2494,Mansur and Kaufman(1958),1,"Low-Sill Structure, Old River"
34,37.5,206,19.8,0.223,3674,3638,Mansur and Kaufman(1958),2,"Low-Sill Structure, Old River"
33,38,223,21.5,0.131,2164,2389,Mansur and Kaufman(1958),3-a,"Low-Sill Structure, Old River"
33,37.5,210,20.2,0.1468,3042,2881,Mansur and Kaufman(1958),4,"Low-Sill Structure, Old River"
33,37,206,19.9,0.1821,2856,2831,Mansur and Kaufman(1958),6,"Low-Sill Structure, Old River"
38,41,138,11.6,0.209,3558,3558,Furlow(1968),1,"Lonesville, La."
38,40,164,13.7,0.209,3292,3479,Furlow(1968),2,"Lonesville, La."
38,40,196,16.5,0.209,3923,3735,Furlow(1968),3,"Lonesville, La."
35,37,158,16.2,0.105,1637,1669,Hunter and Davisson(1969),1,Arkansas River Project LD4
35,37,158,16.1,0.1644,2233,2276,Hunter and Davisson(1969),2,Arkansas River Project LD4
35,36.5,158,16.2,0.2109,2295,2337,Hunter and Davisson(1969),3,Arkansas River Project LD4
36.5,36.5,120,12.3,0.1654,1779,2182,Hunter and Davisson(1969),4,Arkansas River Project LD4
34,38,475,47.2,0.2917,5604,5604,McCammon and Golder(1970) ,1,"Low Arrow Lake, B.C., Canada"
34,34,38,3,0.1644,712,712,Vesic (1970),H-11,"Ogeeches River, Ga."
35,35,72,6.1,0.1644,1735,970,Vesic (1970),H-12,"Ogeeches River, Ga."
35,35,100,8.9,0.1644,2491,2847,Vesic (1970),H-13,"Ogeeches River, Ga."
36,36,131,12,0.1644,3158,3096,Vesic (1970),H-14,"Ogeeches River, Ga."
36,36,161,15,0.1644,3825,3380,Vesic (1970),H-15,"Ogeeches River, Ga."
35.5,36,163,15.2,0.1301,2695,2831,Vesic (1970),H-2,"Ogeeches River, Ga."
34,38,146,11.3,0.0316,1429,1429,Koizumi (1971),6C,"Tokyo, Japan"
35.5,35.5,89,9.1,0.0864,658,903,Tavenas (1971),H2,"St. Charles River, Que., Canada"
35.5,35.5,119,12.2,0.0864,882,985,Tavenas (1971),H3,"St. Charles River, Que., Canada"
35.5,35.5,148,15.2,0.0864,1014,1192,Tavenas (1971),H4,"St. Charles River, Que., Canada"
35.5,35.5,178,18.3,0.0864,1281,1333,Tavenas (1971),H5,"St. Charles River, Que., Canada"
35.5,35.5,89,9.1,0.0799,655,903,Tavenas (1971),J2,"St. Charles River, Que., Canada"
35.5,35.5,119,12.2,0.0799,894,988,Tavenas (1971),J3,"St. Charles River, Que., Canada"
35.5,35.5,148,15.2,0.0799,1113,1200,Tavenas (1971),J4,"St. Charles River, Que., Canada"
35.5,35.5,178,18.3,0.0799,1281,1336,Tavenas (1971),J5,"St. Charles River, Que., Canada"
31,31,134,16,0.0613,480,480,Gregersen et al. (1973),D/A,"Holemen Island, Drammen, Norway"
31,31,134,16,0.0316,519,480,Gregersen et al. (1973),B/C,"Holemen Island, Drammen, Norway"
33,33,111,12.2,0.0061,75,528,Bergdahl and Wennerstrand (1976),Series II,"Albysjon, Sweden"
39,39.5,75,7,0.0999,2439,2371,Heins and Barends (1984),A,"North Sea, The Netherlands"
